id,a2z,name
168,a,Agoraphobia
169,a,Agyria
170,a,Agyria pachygyria polymicrogyria
171,a,Aicardi syndrome
172,a,Aichmophobia
173,a,AIDS
174,a,AIDS Dementia Complex
175,a,Ainhum
176,a,Airplane Ear
177,a,Akathisia
178,a,Akinetic Mutism
179,a,Alagille Syndrome
180,a,Alagille-Watson Syndrome
181,a,Albers-Schonberg Disease
182,a,Albinism
183,a,Albinism immunodeficiency
184,a,Albright hereditary osteodystrophy
185,a,Albright's syndrome
186,a,Albright╞s syndrome
187,a,Alcaptonuria
188,a,Alcohol fetopathy
189,a,alcohol hepatitis
190,a,Alcohol Induced Neurotoxicity Syndrome
191,a,Alcohol Poisoning
192,a,Alcoholism
193,a,"Aldosteronism, Primary"
194,a,Alexander disease
195,a,Alien hand syndrome
196,a,Alkalosis
197,a,Alkaptonuria
198,a,Allan-Herndon syndrome
199,a,Allergic angiitis
200,a,Allergic Asthma
201,a,Allergic bronchopulmonary aspergillus
202,a,Allergic Cascade
203,a,Allergic Rhinitis
204,a,Alopecia
205,a,Alopecia areata
206,a,Alopecia Totalis
207,a,Alopecia universalis
208,a,"Alopecia, Female Pattern"
209,a,"Alopecia, Male Pattern"
210,a,Alpers disease
211,a,Alpha 1-antitrypsin deficiency
212,a,Alpha-mannosidosis
213,a,Alpha-thalassemia
214,a,Alport syndrome
215,a,Alstrom syndrome
216,a,Alternating hemiplegia of childhood
217,a,Altitude Illness
218,a,Altophobia
219,a,Alveolar Capillary Dysplasia
220,a,Alveolar Hydatid Disease
221,a,Alveolar Osteitis
222,a,Alveolar soft part sarcoma
223,a,"Alveolitis, extrinsic allergic"
224,a,Alveolus Cancer
225,a,"Alzheimer disease, familial"
226,a,Alzheimer's disease
227,a,Amaurosis
228,a,Ambiguous Genitalia
229,a,Amblyopia
230,a,Ambras syndrome
231,a,Amelogenesis
232,a,Amelogenesis imperfecta
233,a,Amenorrhoea
234,a,American trypanosomiasis
235,a,Amnesia
236,a,Amnesic Shellfish Poisoning
237,a,Amnestic Disorder
238,a,Amoebic Dysentery
239,a,Amputation
240,a,Amyloidosis
241,a,Amylotrophic Lateral Sclerosis
242,a,Amyoplasia Congenita
243,a,Amyotrophic Lateral Sclerosis
244,a,Anal Cancer
245,a,Anal Exudates
246,a,Anal Fissure
247,a,Anal Itching
248,a,Anaphylactic Shock
249,a,Anaphylactoid Purpura
250,a,Anaphylaxis
251,a,Anaplastic thyroid cancer
252,a,Anasarca
253,a,Androgen insensitivity syndrome (AIS)
254,a,Anemia
255,a,"Anemia, Diamond-Blackfan"
256,a,"Anemia, Pernicious"
257,a,"Anemia, Sideroblastic"
258,a,Anencephaly
259,a,Aneurysm
260,a,Aneurysm of sinus of Valsalva
261,a,Angelman Syndrome
262,a,Angina Pectoris
263,a,Angina Pectoris
264,a,"Angina, Unstable"
265,a,Angiofollicular Lymph Node Hyperplasia
266,a,Angiolipoma
267,a,Angioma
268,a,Angiomatosis
269,a,Angiopathy
270,a,Angiosarcoma
271,a,Anguillulosis
272,a,Angular Cheilitis
273,a,Anhidrosis
274,a,Aniridia
275,a,Anisakiasis
276,a,Anisometropia
277,a,Ankle Fracture
278,a,Ankle Sprain
279,a,Ankylosing spondylitis
280,a,Ankylosis
281,a,Ankylostomiasis
282,a,Annular pancreas
283,a,Ano-rectal atresia
284,a,Anodontia
285,a,Anonychia microcephaly
286,a,Anophthalmia
287,a,Anopthalmia
288,a,Anorchia
289,a,Anorexia nervosa
290,a,Anorgasmia
291,a,Anosmia
292,a,Anovulation
293,a,Anoxia
294,a,Anterior Cruciate Ligament Injuries
295,a,Anterior horn disease
296,a,Anterior Knee Pain Syndrome
297,a,Anthrax
298,a,Antibiotic Resistance
299,a,Antibiotic Resistant Tuberculosis
300,a,Antibiotic-Associated Diarrhea
301,a,Antibiotic-caused Colitis
302,a,Antimicrobial Resistance
303,a,Antiphospholipid syndrome
304,a,Antisocial personality disorder
305,a,"Antithrombin deficiency, congenital"
306,a,Antitrypsin
307,a,Anton syndrome
308,a,Anuria
309,a,Aortic aneurysm
310,a,Aortic arch interruption
311,a,Aortic coarctation
312,a,Aortic dissection
313,a,Aortic supravalvular stenosis
314,a,Aortic Valve Regurgitation
315,a,Aortic valve stenosis
316,a,Apert syndrome
317,a,Aphasia
318,a,Aphthous stomatitis
319,a,Aphthous Ulcers
320,a,Apiphobia
321,a,Aplastic anemia
322,a,"Apnea, Infantile"
323,a,"Apnea, Postanesthetic"
324,a,Apocrine Duct Occlusion
325,a,Apparent mineralocorticoid excess
326,a,Appendicitis
327,a,Apple Peel Syndrome
328,a,Apraxia
329,a,Apudoma
330,a,Arachnitis
331,a,Arachnodactyly
332,a,"Arachnodactyly, Contractural Beals Type"
333,a,Arachnoid cysts
334,a,Arachnoidal Fibroblastoma
335,a,Arachnoiditis
336,a,Arakawa's syndrome II
337,a,ARDS (Acute Respiratory Distress Syndrome)
338,a,Aregenetive Anemia
339,a,ARG Deficiency
340,a,Arginase deficiency (Arginemia)
341,a,Argininosuccinic aciduria
342,a,Argyria
343,a,Arm Fracture
344,a,Arnold-Chiari malformation
345,a,Arrhythmogenic Right Ventricular Cardiomyopathy
346,a,Arrhythmogenic right ventricular dysplasia
347,a,Arsenic Poisoning
348,a,Arterial tortuosity
349,a,Arteriosclerosis
350,a,Arteriovenous Fistula
351,a,Arteriovenous malformation
352,a,Arteritis
353,a,Arthritis
354,a,Arthritis In Children
355,a,"Arthritis, Juvenile"
356,a,"Arthritis, Septic"
357,a,"Arthritis, Thumb"
358,a,Arthrocentesis
359,a,Arthrogryposis
360,a,Arylsulfatase A deficiency
361,a,Asbestos Poisoning
362,a,Asbestosis
363,a,Ascariasis
364,a,Ascending Aorta Dissection
365,a,Ascites
366,a,ASD
367,a,Aseptic meningitis
368,a,Asherman's syndrome
369,a,Aspartylglycosaminuria
370,a,Asperger's Syndrome
371,a,Aspergillosis
372,a,Asphyxia neonatorum
373,a,Aspiration pneumonia
374,a,Asplenia
375,a,Astasia-abasia
376,a,Asthenia
377,a,Asthma
378,a,"Asthma, Childhood"
379,a,"Asthma, Exercise-Induced"
380,a,Astigmatism
381,a,Astrocytoma
382,a,Ataxia
383,a,Ataxia telangiectasia
384,a,Atelectasis
385,a,Atelectasis
386,a,"Atelosteogenesis, type II"
387,a,Atheroma
388,a,Atherosclerosis
389,a,Athetosis
390,a,Athlete's foot
391,a,Atonic Seizures
392,a,Atopic Dermatitis
393,a,Atresia
394,a,Atrial Fibrillation
395,a,Atrial Flutter
396,a,Atrial myxoma
397,a,Atrial septal defect
398,a,Atrioventricular Canal Defect
399,a,Atrioventricular septal defect
400,a,Atrophic vaginitis
401,a,Atrophy
402,a,Attachment Disorder
403,a,Attention Deficit Hyperactivity
404,a,Auditory Processing Disorder
405,a,Auditory Processing Disorder In Children
406,a,Autism
407,a,Autoimmune hemolytic anemia
408,a,Autoimmune hepatitis
409,a,Autoimmune peripheral neuropathy
410,a,"Autoimmune polyendocrinopathy syndrome, type I"
411,a,Autonomic dysfunction (Autonomic nervous system diseases)
412,a,Autonomic Dysreflexia
413,a,Avascular Necrosis
414,a,Avian Influenza
415,a,Avoidant personality Disorder
416,a,Axillary Hyperhidrosis
417,a,Ayerza's Disease
418,a,Azoospermia
419,b,B-Cell Lymphoma
420,b,Babesiosis
421,b,Baby Acne
422,b,Baby Blues
423,b,Baby Bottle Tooth Decay
424,b,Bacillary Angiomatosis
425,b,Back Curves
426,b,Back pain
427,b,Bacteremia
428,b,Bacterial endocarditis
429,b,Bacterial food poisoning
430,b,Bacterial gastroenteritis
431,b,Bacterial Meningitis
432,b,Bacterial pneumonia
433,b,Bacterial Vaginosis
434,b,Bad Breath
435,b,BAER
436,b,Baillarger Syndrome
437,b,Baker's Cyst
438,b,Balance Disorders
439,b,Balanitis
440,b,Balantidiasis
441,b,Baldness
442,b,Baldness
443,b,Ballard syndrome
444,b,Balloon Angioplasty Of The Heart
445,b,Ballooning Mitral Valve Syndrome
446,b,Bannayan-Zonana syndrome
447,b,Banti's syndrome
448,b,Bantu siderosis
449,b,Barber's Itch
450,b,Bardet-Biedl syndrome
451,b,"Bardet-Biedl syndrome, type 1"
452,b,Bare lymphocyte syndrome
453,b,Bare lymphocyte syndrome 2
454,b,Baritosis
455,b,Barium Enema
456,b,Barlow's Syndrome
457,b,Barmah Forest Virus
458,b,Barotitis Media
459,b,Barotrauma
460,b,Barrett's Esophagus
461,b,Barrett's Syndrome
462,b,Barth syndrome
463,b,Bartholin Cyst
464,b,Bartholin's Abscess
465,b,Bartonella infections
466,b,"Bartter syndrome, classic form"
467,b,Basal Cell Cancer
468,b,Basal cell carcinoma
469,b,Basal ganglia diseases
470,b,Basal Joint Arthritis
471,b,Basilar artery migraines
472,b,Bassen Kornzweig Syndrome
473,b,Batten disease
474,b,BDD
475,b,Beals Syndrome
476,b,Beau's Lines
477,b,Becker's Muscular Dystrophy
478,b,Becker's Nevus
479,b,Beckwith Wiedmann Syndrome
480,b,Bed-Wetting
481,b,Bedbug Bites
482,b,Bedsores
483,b,Bee And Wasp Stings
484,b,Behcet's Syndrome
485,b,Behr's Syndrome
486,b,Bejel
487,b,Bell's Palsy
488,b,Benign Astrocytoma
489,b,Benign Congenital Hypotonia
490,b,Benign Essential Blepharospasm
491,b,Benign Essential Tremor Syndrome
492,b,Benign Fasciculation Syndrome
493,b,Benign Intracranial Hypertension
494,b,Benign Paroxysmal Positional Vertigo
495,b,Benign Paroxysmal Positional Vertigo
496,b,Benign Prostatic Hyperplasia
497,b,Benign Prostatice Hyperplasia (BPH)
498,b,Berdon's Syndrome
499,b,Bereavement
500,b,Berger's Disease
501,b,Beriberi
502,b,Berlin Breakage Syndrome
503,b,Bernard Soulier Disease
504,b,Berylliosis
505,b,Besnier-Boeck-Schaumann Disease
506,b,Beta Thalassemia
507,b,Bhaskar Jagannathan Syndrome ~
508,b,Bicuspid Aortic Valve
509,b,Bilateral Renal Agenesis
510,b,Bile Duct Cancer
511,b,Bile Reflux
512,b,Biliary Atresia
513,b,Biliary Cirrhosis
514,b,Binge-Eating Disorder
515,b,Binswanger's Disease
516,b,Biotin Deficiency
517,b,Biotinidase Deficiency
518,b,Bipolar Disorder
519,b,Bird Flu
520,b,Birt-Hogg-DubΘ Syndrome
521,b,Birthmarks
522,b,Black Death
523,b,Black Eye
524,b,Black Lung
525,b,Blackheads
526,b,Bladder Calculi
527,b,Bladder Cancer
528,b,"Bladder Control, Loss Of"
529,b,Bladder Infection
530,b,Bladder Inflammation
531,b,Bladder Neoplasm
532,b,Bladder Papilloma
533,b,Bladder Stones
534,b,"Bladder, Prolapse"
535,b,Blastocystis Hominis Infection
536,b,Blastoma
537,b,Blastomycosis
538,b,Bleeding In The Digestive Tract
539,b,Bleeding Varices
540,b,Blepharitis
541,b,Blepharophimosis
542,b,Blepharospasm
543,b,Blind Loop Syndrome
544,b,Blindness
545,b,BLOOD CLOT
546,b,Blood Clot In The Lungs
547,b,Blood in Semen
548,b,Blood Platelet Disorders
549,b,Blood Poisoning
550,b,"Blood Pressure, High"
551,b,"Blood Pressure, Low"
552,b,Bloom Syndrome
553,b,Blount's Disease
554,b,Blue Cone Monochromatism
555,b,Blue Diaper Syndrome
556,b,Blue Rubber Bleb Nevus Syndrome
557,b,Body Dysmorphic Disorder
558,b,Body Lice
559,b,Body Odor and Sweating
560,b,Boil
561,b,Boils
562,b,Bone Cancer
563,b,Bone Infection
564,b,Bone Loss
565,b,Bone Neoplasm
566,b,Bone Spurs
567,b,Borderline Personality Disorder
568,b,Bordetella Pertussis
569,b,Bornholm Disease
570,b,Borrelia
571,b,Borreliosis
572,b,Bothriocephalosis
573,b,Botulism
574,b,Bourneville's Disease
575,b,Bovine Tuberculosis
576,b,Bowel Incontinence
577,b,Bowel Obstruction
578,b,Bowen's Disease
579,b,Boxer Ear
580,b,Brachial Plexus Injury
581,b,Brachydactyly
582,b,Bradycardia
583,b,Bradycardia-Tachycardia Syndrome
584,b,Bradykinesia
585,b,Brain Aneurysm
586,b,Brain Aneurysm
587,b,Brain Attack
588,b,BRAIN BLEED
589,b,Brain Cavernous Angioma
590,b,Brain Compression
591,b,Brain Infection
592,b,Brain Neoplasms
593,b,Brain Tumor
594,b,Brainerd Diarrhea
595,b,Branchial Cyst
596,b,Branchio-Oto-Renal Syndrome
597,b,Branchiootorenal Syndrome
598,b,Brazilian Pemphigus Foliaceus
599,b,Brazilian Trypanosomiasis
600,b,Breakbone Fever
601,b,Breast Cancer
602,b,Breast Engorgement
603,b,Breast Infection
604,b,Breast Pain
605,b,Bright's Disease
606,b,Brittle Bone Disease
607,b,Broken Ankle
608,b,Broken Arm
609,b,Broken Blood Vessel in Eye
610,b,Broken Hand
611,b,Broken Hip
612,b,Broken Leg
613,b,Broken Nose
614,b,Broken Ribs
615,b,Bronchial Asthma
616,b,Bronchiectasis
617,b,Bronchiolitis
618,b,Bronchiolitis Obliterans Organizing Pneumonia
619,b,Bronchitis
620,b,"Bronchitis, Chronic"
621,b,Bronchopulmonary Dysplasia
622,b,Bronze Diabetes
623,b,Brown Syndrome
624,b,Brown-SΘquard Syndrome
625,b,Brucellosis
626,b,Brugada Syndrome
627,b,Bruton Agammaglobulinemia
628,b,Bruxism
629,b,Bubonic Plague
630,b,Budd-Chiari Syndrome
631,b,Buerger's Disease
632,b,Bulging Disks
633,b,Bulimia Nervosa
634,b,Bullous pemphigoid
635,b,Bundle Branch Block
636,b,Bunions
637,b,Bunyavirus
638,b,Burkitt╞s lymphoma
639,b,Burning mouth syndrome
640,b,Bursitis
641,b,Bursitis Of The Hip
642,b,Bursitis of the Knee
643,b,"BURSITIS, CALCIFIC"
644,b,Byssinosis
645,c,C Syndrome
646,c,C. Difficile
647,c,CADASIL
648,c,CafΘ Au Lait Macules
649,c,Cafe au lait spots
650,c,Caffey╞s Disease
651,c,Calcification
652,c,Calcinosis
653,c,Calcinosis cutis
654,c,Calciphylaxis
655,c,Calculi
656,c,CAMFAC
657,c,Campylobacter Infection
658,c,Campylobacteriosis
659,c,Canavan Disease
660,c,Canavan leukodystrophy
661,c,Cancer
662,c,Cancer In Children
663,c,Candidiasis
664,c,Canine distempers
665,c,Canker Sores
666,c,Capillaritis
667,c,Caplan's syndrome
668,c,Carbohydrate deficient glycoprotein syndrome
669,c,Carbon Monoxide Poisoning
670,c,Carcinoid syndrome
671,c,Carcinoid Tumors
672,c,"Carcinoma, squamous cell"
673,c,Cardiac amyloidosis
674,c,Cardiac arrest
675,c,Cardiac Syndrome X
676,c,Cardiac tamponade
677,c,Cardiofaciocutaneous syndrome
678,c,Cardiomyopathy
679,c,Cardiospasm
680,c,Carney complex
681,c,Carnitine Transporter Deficiency
682,c,Carnitine-Acylcarnitine Translocase Deficiency
683,c,Caroli Disease
684,c,Carotenemia
685,c,Carotid Artery Dissection
686,c,Carpal Tunnel Syndrome
687,c,Carpenter Syndrome
688,c,Castleman's Disease
689,c,Cat Eye Syndrome
690,c,Cat-Scratch Disease
691,c,Catatonic Schizophrenia
692,c,CATCH 22 Syndrome
693,c,Catel Manzke Syndrome
694,c,Caudal Regression Syndrome
695,c,Causalgia
696,c,Cavernous Hemangioma
697,c,Cavernous Sinus Thrombosis
698,c,Cayler Syndrome
699,c,CDG Syndrome
700,c,Celiac Disease
701,c,Celiac sprue
702,c,Cellulite
703,c,Cenani Lenz Syndactylism
704,c,Central diabetes insipidus
705,c,Central Diabetes Insipidus
706,c,Central Pontine Myelinolysis
707,c,Central serous chorioretinopathy
708,c,Central Sleep Apnea
709,c,Centronuclear myopathy
710,c,Ceramidase deficiency
711,c,Ceramide trihexosidosis
712,c,Ceraunophobia
713,c,Cercarial Dermatitis
714,c,Cerebellar hypoplasia
715,c,Cerebellar Vermis Agenesis
716,c,Cerebral Abscesses
717,c,Cerebral amyloid angiopathy
718,c,Cerebral aneurism
719,c,Cerebral cavernous malformation
720,c,Cerebral Edema
721,c,Cerebral gigantism
722,c,Cerebral hypoxia
723,c,Cerebral palsy
724,c,Cerebral Thrombosis
725,c,Cerebrocostomandibular Syndrome
726,c,Cerebrohepatorenal Syndrome
727,c,Cerebrotendinous Xanthomatosis
728,c,"Ceroid lipofuscinosis, neuronal"
729,c,Cerumen Impaction
730,c,Cervical cancer
731,c,Cervical Dystonia
732,c,Cervical Osteoarthritis
733,c,Cervicitis
734,c,Cestodes
735,c,Chagas disease
736,c,Chalazion
737,c,Chancroid
738,c,Chandler's Syndrome
739,c,Chaotic Atrial Tachycardia
740,c,Chapped Lips (cheilitis)
741,c,Charcot Disease
742,c,Charcot Marie Tooth Disease
743,c,CHARGE Syndrome
744,c,Chediak-Higashi syndrome
745,c,Chemodectoma
746,c,Chemophobia
747,c,Chen Kung Ho McAlister Syndrome
748,c,Cherry Hemangioma
749,c,Cherubism
750,c,Chest Pain
751,c,Chest Wall Pain
752,c,Chiari Malformation
753,c,Chickenpox
754,c,Chikungunya
755,c,Childhood Asthma
756,c,Childhood disintegrative disorder
757,c,Childhood Leukemia
758,c,Childhood Nephrotic Syndrome
759,c,Childhood Schizophrenia
760,c,Chimerism
761,c,Chinese Restaurant Syndrome
762,c,Chlamydia
763,c,Chlamydia trachomatis
764,c,Choking
765,c,Cholangiocarcinoma
766,c,Cholangitis Primary Sclerosing
767,c,Cholecystitis
768,c,Cholelithiasis
769,c,Cholera
770,c,Cholestasis
771,c,Cholestasis Of Pregnancy
772,c,Cholesteryl ester storage disease
773,c,Chondroblastoma
774,c,Chondrocalcinosis
775,c,Chondrocalinisis
776,c,Chondrodermatitis Nodularis Helicis
777,c,Chondrodystrophy
778,c,Chondroectodermal dysplasia
779,c,Chondroma
780,c,Chondromalacia
781,c,Chondromalacia Patella
782,c,Chondrosarcoma
783,c,Chordoma
784,c,Chorea
785,c,Chorea Acanthocytosis
786,c,Choriocarcinoma
787,c,Chorioretinitis
788,c,Christmas disease
789,c,Chromhidrosis
790,c,Chromomycosis
791,c,Chromosomal Translocations
792,c,Chromosome 15q partial deletion
793,c,Chromosome 15q trisomy
794,c,Chromosome 22 microdeletion 22q11
795,c,Chronic Adrenal Insufficiency
796,c,Chronic berylliosis
797,c,Chronic Cough
798,c,Chronic Daily Headache
799,c,Chronic Exertional Compartment Syndrome
800,c,Chronic fatigue disorder
801,c,Chronic granulomatous disease
802,c,Chronic hiccup
803,c,Chronic inflammatory demyelinating polyneuropathy
804,c,Chronic Kidney Failure
805,c,Chronic lymphocytic leukemia
806,c,Chronic Lymphocytic Thyroiditis
807,c,Chronic mountain sickness
808,c,Chronic Myelogenous Leukemia
809,c,Chronic Myelomonocytic Leukemia
810,c,Chronic Necrotizing Vasculitis
811,c,Chronic Neutropenia
812,c,Chronic Obstructive Pulmonary Disease
813,c,Chronic Pelvic Pain
814,c,Chronic Progressive External Ophthalmoplagia
815,c,Chronic Recurrent Multifocal Osteomyelitis
816,c,Chronic Renal Failure
817,c,Chronic Sinusitis
818,c,Chronic Spasmodic Dysphonia
819,c,Chronic Vulvar Pain
820,c,Churg-Strauss Syndrome
821,c,Chylous Ascites
822,c,Cicatricial pemphigoid
823,c,Ciguatera Fish Poisoning
824,c,Cinchonism
825,c,Cirrhosis
826,c,Citrullinemia
827,c,Clap
828,c,Clarkson's disease
829,c,Claudication
830,c,Cleft Lip
831,c,Cleft palate
832,c,Cleidocranial Dysplasia
833,c,Click Murmur Syndrome
834,c,Clinical Depression
835,c,Cloacal exstrophy
836,c,Clostridium Difficile Infection
837,c,Clubfoot
838,c,Cluster Headache
839,c,CMV Antenatal Infection
840,c,Coal Workers' Pneumoconiosis
841,c,Coats Disease
842,c,Coccidiodomycosis
843,c,Coccidioidomycosis
844,c,Cockayne's Syndrome
845,c,Coeliac Disease
846,c,Coffin-Lowry Syndrome
847,c,Coffin-Siris Syndrome
848,c,Cogan Syndrome
849,c,Cohen Syndrome
850,c,Cold Agglutinin Disease
851,c,Cold Contact Urticaria
852,c,Cold Sores In Children
853,c,Colibacillosis
854,c,Colic
855,c,Colitis
856,c,Collagenous Colitis
857,c,Collapsed Lung
858,c,"Coloboma, Ocular"
859,c,Colon Cancer
860,c,Colon polyps
861,c,Colon Polyps
862,c,Colonic Ischemia
863,c,Color blindness
864,c,Colorado tick fever
865,c,Colorectal Cancer
866,c,Coma
867,c,"Combined hyperlipidemia, familial"
868,c,common cold
869,c,Common Variable Immunodeficiency
870,c,Community-Acquired Pneumonia
871,c,Compartment syndrome
872,c,Complex regional pain syndrome
873,c,Complicated Grief
874,c,Compulsive Gambling
875,c,Compulsive Hoarding Syndrome
876,c,Compulsive Overeating
877,c,Compulsive Sexual Behavior
878,c,Compulsive Skin Picking
879,c,Compulsive Stealing
880,c,Concussion
881,c,Conduct Disorder
882,c,conductive hearing loss
883,c,Condyloma
884,c,Condyloma acuminatum
885,c,Cone dystrophy
886,c,Congenital adrenal hyperplasia
887,c,Congenital afibrinogenemia
888,c,Congenital Amaurosis
889,c,Congenital amputation
890,c,Congenital antithrombin III deficiency
891,c,Congenital Central Hypoventilation Syndrome
892,c,Congenital cystic adenomatoid malformation
893,c,Congenital deafness
894,c,Congenital diaphragmatic hernia
895,c,Congenital erythropoietic porphyria
896,c,Congenital facial diplegia
897,c,Congenital heart disease
898,c,Congenital heart septum defect
899,c,Congenital hepatic fibrosis
900,c,Congenital herpes simplex
901,c,Congenital hip Dysplasia
902,c,Congenital hypothyroidism
903,c,Congenital ichthyosis
904,c,Congenital insensitivity to pain with anhidrosis
905,c,Congenital Megacolon
906,c,Congenital mesoblastic nephroma
907,c,Congenital microvillus atrophy
908,c,Congenital Myopathy
909,c,Congenital nephrotic syndrome
910,c,Congenital rubella
911,c,Congenital Syphilis
912,c,Congenital Toxoplasmosis
913,c,Congestive Heart Disease
914,c,Conjoined Twins
915,c,Conjunctivitis
916,c,Conn's Syndrome
917,c,Constipation
918,c,Constipation In Children
919,c,Constitutional Growth Delay
920,c,Contact Dermatitis
921,c,Contact Lens Solution Toxicity
922,c,Continuous Muscle Fiber Activity Syndrome
923,c,Conversion Disorder
924,c,Cooley's Anemia
925,c,Copper Transport Disease
926,c,Coproporhyria
927,c,Cor Pulmonale
